ID;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Korrekte Antwort;Erklärung
18;"Welche/r deutsche Prominente war bereits mehrfach in der Jury der US-Show ""America’s Got Talent""?";Heidi Klum;Dirk Nowitzki;Diane Kruger;Ralf Moeller;A;"Seit 2013 tauchte Heide Klum neben Simon Cowell und Howie Mandel regelmäßig in der Jury bei ""America’s Got Talent"" auf."
19;Zu den Gründungsmitgliedern welcher Plattform gehört Julian Assange?;WikiLeaks;Tumblr;Wikipedia;4Chan;A;WikiLeaks ist eine Enthüllungsplattform, auf der Dokumente anonym veröffentlicht werden. Julian Assange war einer der Initiatoren beim Beginn des Projekts im Jahr 2006.
20;"Wie hieß die gemeinsame Radiosendung von von Olli Schulz und Jan Böhmermann aus der später der Podcast ""Fest & Flauschig"" entstand?";Sanft & Sorgfältig;Dick & Durstig;Laut & Leise;Law & Order;A;"Die Radiosendung ""Sanft und Sorgfältig"" war geprägt von Dialogen zwischen Schulz und Böhmermann, wobei jede Ausgabe ein eigenes Motto hatte."
21;Welcher ist der zweithöchste Berg Deutschlands?;Schneefernerkopf;Watzmann (Mittelspitze);Hochwanner;Wetterwandeck;A;Mit 2.874 Metern Höhe ist der Schneefernerkopf der zweithöchste Gipfel Deutschlands. 1871, erst 51 Jahre nach der Zugspitze, fand die Erstbesteigung statt.
22;Wie lautet die Hauptstadt von Kanada?;Ottawa;Montreal;Vancouver;Toronto;A;Ottawa ist die Bundeshauptstadt Kanadas. Sie liegt im östlichen Teil der Provinz Ontario am gleichnamigen Fluss Ottawa.
23;Welche Insel liegt NICHT in der Nordsee?;Hiddensee;Spiekeroog;Föhr;Juist;A;Hiddensee liegt westlich von Rügen in der Ostsee. Die Insel ist nahezu autofrei, da dort der private Kfz-Verkehr verboten ist.
24;Welche Stadt liegt auf zwei Kontinenten?;Istanbul;Panama-City;Manila;Taipeh;A;Istanbul, früher Konstantinopel, ist die bevölkerungsreichste Stadt der Türkei. Als weltweit einzige Stadt liegt sie zwischen zwei Kontinenten.
25;Welches dieser Länder hat die kürzeste Grenze zu Deutschland?;Belgien;Schweiz;Frankreich;Polen;A;Die Länge der Grenze zwischen Deutschland und Belgien beträgt 204 Kilometer. Nur die Grenzen zu Luxemburg (136 km) und Dänemark (68 km) sind noch kürzer.
26;Welches Land hat die einzige Nationalﬂagge der Welt, deren Form NICHT einem Rechteck entspricht?;Nepal;Bahrain;Thailand;Costa Rica;A;Die Form der Flagge von Nepal entspricht zwei Dreiecken. Sie entstand aus zwei Wimpeln, die zu einer Flagge zusammengefasst wurden
27;Was bedeutet der Name der Stadt Hong Kong?;duftender Hafen;großer Berg;stürmische See;lauter Regen;A;Der Handel mit duftenden Gewürzen im Hafen von Hong Kong brachte der Stadt den Namen ein, der auf Deutsch so viel wie „duftender Hafen“ bedeutet.
28;Welches deutsche Bundesland grenzt an die meisten anderen Bundesländer?;Niedersachsen;Thüringen;Hessen;Nordrhein-Westfalen;A;Mit insgesamt 9 angrenzenden Bundesländern, hat Niedersachsen die meisten Nachbarn.
29;Welcher ist der größte Nationalpark der Erde;Nordost-Grönland- Nationalpark;Yellowstone- Nationalpark;Nairobi-Nationalpark;Nationalpark Montecristo Triﬁnio;A;Der Nordost-Grönland-Nationalpark ist der größte Nationalpark der Welt. Er ist der einzige Nationalpark Grönlands und belegt mit seinen 972.000 km² annähernd 45 % der Fläche der Insel.
30;In welchem Land liegt Südamerikas höchster Berg?;Argentinien;Chile;Peru;Bolivien;A;Der Aconcagua in den argentinischen Anden ist mit 6962 m der höchste Berg Südamerikas. Dennoch gibt es in Asien ganze 187 Berge, welche noch höher sind.
31;Wie viele Gründungsmitglieder hat die Europäische Union?;6;4;7;8;A;Die Europäische Gemeinschaft wurde im Jahr 1952 von der Bundesrepublik Deutschland, Belgien, Frankreich, Luxemburg, Italien und den Niederlanden gegründet.
32;Wie hoch ist das Mindestalter, um Bundespräsident/in zu werden?;40;50;60;18;A;Das Mindestalter für das Amt des Bundespräsidenten liegt bei 40 Jahren. Der bisher jüngste Bundespräsident, Christian Wulff, war bei seiner Wahl 51 Jahre alt.
33;Wie wird eine europaweite Harmonisierung von Studiengängen und bezeichnet, deren Ziel die Schaffung eines einheitlichen europäischen Hochschulraums ist?;Bologna-Prozess;Pisa-Abkommen;Brüssel-Aufsicht;Berlin-Bachelor;A;"Gesucht war der ""Bologna-Prozess"". Der Begriff geht auf eine 1999 von 29 europäischen Bildungsministern im italienischen Bologna unterzeichnete Erklärung zurück."
34;Welcher dieser Staaten war NICHT an der Einführung des Euro als Bargeld im Jahr 2002 beteiligt?;Malta;Belgien;Irland;Portugal;A;Erst am 1. Januar 2008 löste der Euro die Maltesische Lira als ofﬁzielle Landeswährung ab.
35;In welcher Stadt sitzt das deutsche Bundesarbeitsgericht?;Erfurt;Bonn;Stuttgart;Flensburg;A;Im Zuge der deutschen Einheit wurde 1992 beschlossen, das Bundesarbeitsgericht nach Thüringen zu verlegen. 1999 erfolgte der Umzug von Kassel nach Erfurt.
36;Mit welcher Währung zahlt man auf Grönland?;Dänische Krone;Norwegische Krone;Euro;Grönlandische Krone;A;Grönland ist aus politischer Sicht ein autonomer Bestandteil des Königreichs Dänemark. Deshalb gilt die Dänische Krone als ofﬁzielle Währung.
37;In welchem Amt war Ursula von der Leyen noch KEINE Bundesministerin?;Gesundheitsministeri n;Familienministerin;Bundesministerin für Arbeit und Soziales;Verteidigungsministeri n;A;In den Koalitionsverhandlungen der Bundestagswahl 2009 wurde Ursula von der Leyen zwar als kommende Gesundheitsministerin gehandelt, das Ressort wurde jedoch von Philipp Rösler übernommen.
38;Wann wurde die Möglichkeit der Briefwahl bei einer Bundestagswahl eingeführt?;1957;1972;1983;1990;A;In Deutschland wurde die Briefwahl zur Bundestagswahl 1957 eingeführt, um die „Allgemeinheit der Wahl“ sicherzustellen. Der damalige Anteil der Briefwahl-Nutzer lag bei 4,9%.
39;In welchem Jahr gab es die bislang höchste Wahlbeteiligung bei einer Bundestagswahl?;1976;1990;2017;1965;A;Die bisher höchste Wahlbeteiligung bei einer Bundestagswahl gab es 1972 mit 91,1%. In diesem Jahr durften erstmals auch junge Menschen im Alter von 18 bis 20 Jahren an der Wahl teilnehmen.
40;Wer hat vor der Einführung eines neuen Gesetze in Deutschland das letzte Wort?;Bundespräsident/in;Bundeskanzler/in;Bundesrat;Bundesgerichtshof;A;Ein neues Gesetz erlangt in Deutschland erst durch die Unterschrift des Bundespräsidenten oder der Bundespräsidentin Rechtskraft.
41;Was wurde im Jahr 1919 in Deutschland eingeführt?;Schulpﬂicht;Wehrpﬂicht;Straßenverkehrsordn ung;DIN-Normen;A;Seit 1919 schrieb die Weimarer Verfassung die allgemeine Schulpﬂicht für ganz Deutschland fest.
42;"Welche Stadt bezeichnet sich als ""älteste Stadt Deutschlands""?";Trier;Wuppertal;Dresden;Aachen;A;Trier wurde vor mehr als 2000 Jahren unter dem Namen Augusta Treverorum gegründet und beansprucht den Titel der ältesten Stadt Deutschlands für sich. Eine amtlich bestätigte „älteste Stadt Deutschlands“ gibt es nicht.
43;Welcher US-Präsident ist NICHT am Mount Rushmore National Memorial zu sehen?;Franklin D. Roosevelt Thomas Jefferson;;Theodore Roosevelt;Abraham Lincoln;A;Franklin D. Roosevelt ist nicht am Mount Rushmore Memorial zu sehen, aber das Denkmal wurde nach 14 Jahren Bauzeit während seiner Amtszeit im Jahre 1941 fertiggestellt.
44;"Auf welcher Burg weilte Martin Luther heimlich unter dem Namen ""Junker Jörg“?";Wartburg;Burg Hohenzollern;Löwenburg;Burg Eltz;A;Vom 4. Mai 1521 bis 1. März 1522 weilte Martin Luther auf der Wartburg. Sein Aufenthalt sollte ein Geheimnis bleiben, daher wurde er in dieser Zeit zum „Junker Jörg“.
45;Welches dieser Bundesländer gehörte NICHT zur ehemaligen DDR?;Niedersachsen;Sachsen-Anhalt;Brandenburg;Mecklenburg- Vorpommern;A;Niedersachsen grenzt zwar an vier der fünf neuen Bundesländer, war aber kein Teil der DDR.
46;Aus welcher Stadt stammt die Pizza?;Neapel;Bologna;Rom;Mailand;A;Eine Pizza nach heutigen Vorstellungen soll erstmals 1889 in Neapel von der Pizzeria Brandi hergestellt worden sein. Auftraggeber waren König Umberto I. und seine Frau Margherita.
47;Welcher Politiker war in seiner Karriere sowohl Oberbürgermeister von Köln als auch Bundeskanzler?;Konrad Adenauer;Ludwig Erhard;Willy Brandt;Kurt Georg Kiesinger;A;Am 18. September 1917 wurde Konrad Adenauer in Köln zum damals jüngsten Oberbürgermeister einer deutschen Großstadt. 1949 wurde er erster Bundeskanzler der Bundesrepublik Deutschland.
48;In welcher Stadt wird traditionell der Friedensnobelpreis verliehen?;Oslo;Stockholm;Kopenhagen;Malmö;A;Während alle anderen Nobelpreise in Stockholm vergeben werden, ﬁndet die Verleihung des Friedensnobelpreises in Oslo statt.
49;Wer war, gemeinsam mit seiner Expeditionsgruppe, der erste Mensch am geographischen Südpol?;Roald Amundsen;Robert Falcon Scott;Richard Evelyn Byrd;Arved Fuchs;A;Roald Amundsen erreichte am 14. Dezember 1911, vor seinem britischen Rivalen Robert Falcon Scott, mit vier Begleitern als erster Mensch den geographischen Südpol.
50;"Was oder wer bekam 1996/97 als ""Hale-Bopp"" weltweite Aufmerksamkeit?";Ein Komet;Ein Rennfahrer;Ein Wrestler;Ein Mammutbaum;A;Der Komet Hale-Bopp wurde am 23. Juli 1995 unabhängig voneinander durch Alan Hale in New Mexico und Thomas Bopp in Arizona entdeckt. Der Komet Hale-Bopp wird ungefähr im Jahr 4419 zurückkehren.
51;"Aus welcher dieser Städte gab es bislang noch keinen ""Tatort""?";Bielefeld;Bremen;Stuttgart;Braunschweig;A;"Zwar kommen die beliebtesten Ausgaben des ""Tatort"" aus dem benachbarten Münster, in Bielefeld wurde bislang aber noch nicht ermittelt."
52;"In welchem Jahr lief die erste Ausgabe der Show ""Ich bin ein Star - Holt mich hier raus!""?";2004;2007;2010;1998;A;"Im Januar 2004 lief die erste Ausgabe von ""Ich bin ein Star - Holt mich hier raus!"". Costa Cordalis wurde Dschungelkönig der Premiere."
53;"Bei wem handelt es sich NICHT um eine Figur aus dem Film ""Ice Age""";Horton;Manni;Sid;Diego;A;"Riesenfaultier Sid, Säbelzahntiger Diego und Mammut Manni gehören zu den Hauptﬁguren von ""Ice Age""."
54;In welchem Film verlangt der verärgerte Mike Tyson seinen Tiger zurück?;Hangover;Rocky V;The Big Lebowski;Brügge sehen ... und sterben;A;"Die Villa von Mike Tyson ist nur eine Station des chaotischen Junggesellenabschieds in ""Hangover""."
55;"Um die Produktion welcher Droge dreht sich die Serie ""Breaking Bad""?";Crystal Meth;Heroin;Marihuana;Koks;A;"In ""Breaking Bad"" stellt der Chemielehrer Walter White besonders reines Crystal Meth namens ""Blue Sky"" her."
56;Welcher war der erste vollständig am Computer erstellte Langﬁlm für das Kino?;Toy Story;Avatar;Monster AG;Ice Age;A;"""Toy Story"" der Pixar Animation Studios war 1995 der erste computeranimierte Kinoﬁlm. Der fertige Film belegte 500 Gigabyte und wurde auf 1200 CDs zwischengespeichert."
57;Von welcher dieser deutschen „Daily Soaps“ waren bislang die meisten Folgen im Fernsehen zu sehen?;Gute Zeiten, Schlechte Zeiten;Lindenstraße;Marienhof;Verbotene Liebe;A;"""GZSZ"" feierte 1992 Premiere und gilt mit mittlerweile mehr als 6.000 Folgen als erfolgreichste deutsche Fernsehserie ihres Genres."
58;Welche Science-Fiction-Mysteryserie spielt in der ﬁktiven Kleinstadt Hawkins?;Stranger Things;Akte X;Black Mirror;Westworld;A;"In ""Stranger Things"" verschwindet in den Achtzigern in der ﬁktiven Kleinstadt Hawkins der Junge Will Byers und weitere mysteriöse Dinge tragen sich zu."
59;In welchem FIlm hatte neben Martin Semmelrogge und Uwe Ochsenknecht auch Herbert Grönemeyer eine Rolle?;Das Boot;Männerpension;Ballermann 6;Radio Heimat;A;"Herbert Grönemeyer, der bis dahin vorwiegend Theaterschauspieler war, spielte Leutnant Werner in ""Das Boot""."
60;In welchem Film führte Til Schwiger erstmals Regie und spielte zugleich eine der Hauptrollen?;Der Eisbär;Keinohrhasen;Barfuss;Zweiohrküken;A;"""Der Eisbär"" ist eine deutsche Thriller-Komödie aus dem Jahre 1998. Til Schweiger spielte hierbei den Hauptakteur Leo und gab obendrein sein Regiedebüt."
61;"Wie lautet der erste Buchtitel von ""Die drei ???""?";... und das Gespensterschloss;…und die Geisterinsel;…und der seltsame Wecker;…und der grüne Geist;A;Die drei ??? und das Gespensterschloss ist die erste Folge der Buchreihe Die drei ??? sowie die elfte Folge der Hörspielreihe.
62;Wie heißt der 2006 als Buch erschienene Reisebericht von Hape Kerkeling?;Ich bin dann mal weg;Ich bin gleich wieder da;Ich laufe jetzt los;Ich bin unterwegs;A;"Hape Kerkeling beschreibt in ""Ich bin dann mal weg"" die Erlebnisse seiner Pilgerreise nach Santiago de Compostela im Jahr 2001."
63;"Wer schrieb das Werk ""Die Räuber""?";Friedrich Schiller;Johann Wolfgang Goethe;Johann Gottfried Herder;Gottfried August Bürger;A;Die Räuber ist das erste veröffentlichte Drama von Friedrich Schiller. Das Werk, das zunächst nicht als Bühnenstück, sondern als Lesedrama gedacht war, entstand in der Epoche der Aufklärung.
64;Wer stammt aus der Feder von Joanne K. Rowling?;Harry Potter;Luke Skywalker;Gandalf;Prinz Kaspian;A;Harry Potter ist eine Fantasy-Romanreihe der englischen Schriftstellerin Joanne K. Rowling. Der erste Titel der Reihe erschien 1997.
65;Welches ist KEIN Buch von Erich Kästner?;Der Räuber Hotzenplotz;Das doppelte Lottchen;Emil und die Detektive;Das ﬂiegende Klassenzimmer;A;Der Räuber Hotzenplotz ist eine Figur des Kinderbuchautors Otfried Preußler.
66;"Wem verspricht Faust in ""Faust. Eine Tragödie."" seine Seele?";Mephisto;Gretchen;Gott;Erdgeist;A;Der tief deprimierte Faust verspricht dem Teufel Mephisto seine Seele, wenn es diesem gelingen sollte, ihn von seiner Unzufriedenheit zu befreien.
67;In welchem Werk verwandelt sich Gregor Samsa in ein Ungeziefer?;Die Verwandlung;Der Fänger im Roggen;Die Räuber;Herr der Fliegen;A;In Franz Kafkas „Die Verwandlung“ wacht Gregor Samsa eines Morgens auf und stellt fest, dass er „zu einem ungeheueren Ungeziefer verwandelt“ wurde.
68;"Von wem stammt der millionenfach verkaufte Roman ""Illuminati""?";Dan Brown;Ken Follett;John Grisham;Stephen King;A;"""Illuminati"", der erste in Deutschland veröffentlichte Roman von Dan Brown, gelangte innerhalb kürzester Zeit auf die vorderen Ränge der Bestsellerliste."
69;"Wer ist KEINE Figur in J.R.R. Tolkiens ""Der Herr der Ringe""?";Ron Weasley;Frodo Beutlin;Samweis Gamdschie;Legolas Grünblatt;A;"Ron Weasley kommt in ""Der Herr der Ringe"" nicht vor, er ist der beste Freund von Harry Potter."
70;"Wer schrieb den Roman ""Das Parfum""?";Patrick Süskind;Franz Kafka;Günter Grass;Sebastian Fitzek;A;"""Das Parfum"" ist ein Roman von Patrick Süskind aus dem Jahr 1985. Die Geschichte folgt dem Lebenslauf eines mit genialem Geruchssinn ausgestatteten Parfümeurs."
71;Wie hieß das erste Soloalbum von Michael Jackson?;Got to Be There;Thriller;Music & Me;Bad;A;"1972 erschiend mir ""Got to Be There"" das erste Soloalbum von Michael Jackson. Zum Zeitpunkt der Veröffentlichung war er gerade einmal 13 Jahre alt."
72;Welche/r Künstler/in hatte in Deutschland bislang die meisten Nummer-1-Alben?;Peter Maffay;Herbert Grönemeyer;Andrea Berg;Die Toten Hosen;A;"Ganze 18 Nummer-eins-Alben hatte Peter Maffay bislang. Das erste Album an der Spitze der Charts gelang im 1979 mit ""Steppenwolf""."
73;Aus welchem Land stammt die Hard-Rock-Band AC/DC?;Australien;Schottland;England;USA;A;Zwar wurden die beiden Brüder Angus und Malcolm Young in Schottland geboren, allerdings wanderten sie im Kindesalter nach Australien aus, wo sie später AC/DC gründeten.
74;Wann nahm Stefan Raab selbst als Sänger am Eurovision Song Contest Teil?;2000;nie;2006;1999;A;"Mit dem Titel ""Wadde hadde dudde da?"" nahm Stefan Raab am Eurovision Song Contest 2000 teil und erreichte damit Platz 5. Schon 1998 schrieb er ""Guildo hat euch lieb!"" für die Teilnahem von Guildo Horn."
75;Aus welcher Stadt stammen die legendären Beatles?;Liverpool;Manchester;Glasgow;Cardiff;A;Am 6. Juli 1957 wurde John Lennon bei einem Gartenfest einer Pfarrgemeinde von Liverpool von einem Schulfreund dem 15-jährigen Paul McCartney vorgestellt. Der Rest ist Geschichte.
76;Wer spielte NICHT in der Band Queen?;Steven Tyler;Freddie Mercury;Brian May;Roger Taylor;A;Zwar wurde seine Band im gleichen Jahr wie Queen gegründet, jedoch ist Steven Tyler Mitglied bei Aerosmith.
77;"Von wem stammt das One-Hit-Wonder ""Macarena""?";Los Del Rio;Los Matadores;Los Banditos;Los Lobos;A;"Bereits in den 1960er Jahren gründete sich das Duo ""Los Del Rio"". Ihren größten Erfolg hatten sie aber erst im Jahre 1996, als ihr Song ""Macarena"" weltweit an den Spitzen der Charts stand."
78;Welcher dieser Songs stammt NICHT von Bruce Springsteen?;Livin' On A Pray;Dancing In The Dark;Born To Run;The River;A;"""Livin' On A Prayer"" stammt von der Band Bon Jovi, deren Frontmann Jon Bon Jovi, ebenfalls wie Springsteen, aus New Jersey stammt."
79;"Welcher Musiker war als der ""Man in Black"" bekannt?";Johnny Cash;Jim Morrison;Jimi Hendrix;Kurt Cobain;A;In den frühen 1970er Jahren begann Cash aus Protest damit, nur noch in schwarzer Kleidung aufzutreten. Dies brachte ihm den Beinamen „Man in Black“ ein.
80;In welcher Band spielen The Starchild, The Demon, The Spaceman und The Catman?;KISS;Rammstein;Slipknot;AC/DC;A;KISS sind für ihre aufwändigen Shows und individuellen Kostüme bekannt. Jedes Bandmitglied hat dabei ein eigenes, festgelegtes Alter-Ego mit entsprechender Schminkmaske und Kostüm.
81;Wie nennt sich der Mars-Rover der NASA, welcher 2012 erfolgreich auf dem Mars landete?;Curiosity;Apollo;Spirit;Sojus;A;Curiosity ist ein Mars-Rover der NASA. Die Marslandung ist am 6. August 2012 geglückt. Den Namen bekam der Rover von der Sechstklässlerin Clara Ma, welche einen Wettbewerb zur Namensgebung gewann.
82;Wofür steht bei Navigationssystemen die Abkürzung GPS?;Global Positioning System;Global Polar Satelites;Global Paragliding Software;Global Precision Signal;A;Das Global Positioning System, kurz GPS, ist ein globales Navigationssatellitensystem zur Positionsbestimmung. Es wurde seit den 1970er- Jahren vom US-Verteidigungsministerium entwickelt.
83;Ab welcher Temperatur beginnt Wasser (bei Normaldruck) zu kochen?;100°C;70°C;200°C;50°C;A;Ist eine Temperatur von 100 °C erreicht, beginnt Wasser zu kochen und geht vom ﬂüssigen in den gasförmigen Aggregatzustand über, dessen Volumen um etwa das 1600-fache höher ist.
84;Was stellte die Firma Nintendo her, bevor sie durch Videospielkonsolen weltberühmt wurde?;Spielkarten;Action-Figuren;Fernseher;Motorräder;A;Nintendo wurde ursprünglich als Hersteller von Spielkarten bereits im Jahr 1889 in Kyōto gegründet, wo die Firma bis heute ihren Hauptsitz hat.
85;Wann wurde das Farbfernsehen in der Bundesrepublik Deutschland eingeführt?;1967;1972;1985;1991;A;Der Start des Farbfernsehens in der Bundesrepublik Deutschland erfolgte auf der 25. Großen Deutschen Funk-Ausstellung in West-Berlin am 25. August 1967.
86;Welches ist der größte Planet unseres Sonnensystems?;Jupiter;Saturn;Mars;Venus;A;Mit einem Durchmesser von 142 870 Kilometern ist der Jupiter der größte Planet des Sonnensystems. Damit ist er rund 317-mal so groß wie die Erde.
87;Wie lautet der Satz des Pythagoras?;a² + b² = c²;-(-a) = a;a + b = b + a;a² = a * a;A;Der Satz des Pythagoras lautet a² + b² = c². Er besagt, dass in allen ebenen rechtwinkligen Dreiecken die Summe der Flächeninhalte der Kathetenquadrate gleich dem Flächeninhalt des Hypotenusenquadrates ist.
88;Wie lautet das Elementsymbol für Blei?;Pb;Bl;B;M;A;"Das Elementsymbol für Blei lautet ""Pb"", abgeleitet vom lateinischen Begriff ""plumbum""."
89;Wer war der ZWEITE Mann auf dem Mond?;Buzz Aldrin;Matt Kowalski;Michael Collins;Harry Stamper;A;Am 21. Juli 1969 betrat Buzz Aldrin, knapp 20 Minuten nach Neil Armstrong, als zweiter Mensch den Mond. Von Aldrin existieren jedoch weitaus mehr Bilder auf dem Mond, da Armstrong mit der fotograﬁschen Dokumentation beauftragt war.
90;Wie heißt die Zahl, die bei der Bruchrechnung über dem Bruchstrich steht?;Zähler;Nenner;Hauptwert;Pi;A;"In der Bruchrechnung der Nenner unter dem Bruchstrich an, in wie viele Teile das Ganze geteilt worden ist; die Zahl über dem Bruchstrich, der Zähler gibt an, wie viele Teile davon in diesem Falle gemeint sind"
91;Was ist KEINE ﬂeischfressende Pﬂanze?;Feuerdorn;Sonnentau;Venusﬂiegenfalle;Gemeines Fettkraut;A;Die Feuerdorne sind keine ﬂeischfressenden Pﬂanzen, sondern eine Gattung immergrüner Sträucher aus der Familie der Rosengewächse und werden deshalb gern als Heckenpﬂanzen verwendet.
92;Welcher dieser Nadelbäume verliert im Winter seine Nadeln?;Lärche;Kiefer;Fichte;Tanne;A;Die Lärche wirft im Winter ihre Nadeln ab, um die Verdunstung zu verringern und verhindert so ein Vertrocknen des Baumes.
93;Wo lebt KEINE Pinguin-Art?;Nordpol;Australien;Südpol;Afrika;A;Pinguine kommen nur auf der südlichen Hälfte der Weltkugel vor, sind also nicht am Nordpol zu ﬁnden.
94;Wie nennt man Wildschweinjunge?;Frischling;Kitz;Kalb;Welpe;A;Frisch geborene Wildschweine nennt man Frischlinge. Sie haben ein mittelbraunes Fell, das in der Regel vier bis fünf gelbliche Längsstreifen aufweist.
95;Die Früchte welches Baumes sind essbar und als Maronen bekannt?;Edelkastanie;Rotbuche;Steineiche;Blautanne;A;Die Früchte der Edelkastanie werden als Maronen bezeichnet. Vom Mittelalter bis gegen Ende des 19. Jahrhunderts war die Edelkastanie in den Bergregionen Südeuropas das Hauptnahrungsmittel der Landbevölkerung.
